Date,Open,High,Low,Close,Volume
2024-03-12,199.68042004146923,201.36498364734322,199.11889883951125,200.4444580078125,1388600
2024-03-13,200.4444667656327,202.02777205849182,200.23274979220014,201.926513671875,936900
2024-03-14,201.67795923255767,202.31312417196312,199.99339562468873,201.9725341796875,1556100
2024-03-15,200.16828060507152,202.69052570101258,199.61597369565231,200.2143096923828,4141800
2024-03-18,200.77584185412545,202.28550329640453,200.15909137943706,201.4938507080078,1112000
2024-03-19,202.13821071166282,202.13821071166282,198.91637115025497,199.1649169921875,1460500
2024-03-20,198.18914457553186,199.24774329072338,196.15477702365484,196.6426544189453,1886900
2024-03-21,196.82681384841018,199.10049942731243,196.5874681745517,198.91639709472656,1529900
2024-03-22,199.01766501896253,199.22938200927368,197.32390100425675,197.45277404785156,1169700
2024-03-25,198.0419073051076,199.25700802504173,197.36071320034682,198.0879364013672,978200
2024-03-26,197.64605028627105,198.19835719773306,195.05016145025158,195.96148681640625,1375000
2024-03-27,196.41257995903086,198.5113776006542,195.6393416797188,198.46536254882812,1817700
2024-03-28,198.7322984711656,199.28461952533902,196.05356523680794,198.1799774169922,1755400
2024-04-01,198.21678313112773,198.55737311524277,195.0869876003431,195.1698455810547,1036600
2024-04-02,195.1882525709801,197.8117562909183,194.5807163172538,197.72891235351562,1983100
2024-04-03,197.7289219964346,198.48374576198162,195.1238325953532,195.17906188964844,1796900
2024-04-04,196.2284538505327,197.2502378980693,195.07779677205033,195.34475708007812,2182700
2024-04-05,194.5715269807625,196.3113201194846,194.04683459726652,194.30458068847656,1163300
2024-04-08,194.26772238812535,197.11215725420294,193.4668695863739,195.84182739257812,2006100
2024-04-09,196.78075112914877,197.43431640506785,191.9019628956864,193.10784912109375,1634100
2024-04-10,193.68781102640017,196.41255916390602,192.9698021221853,195.1514434814453,2127000
2024-04-11,194.7924468109555,196.87282986703096,193.71543341160842,195.86026000976562,1653400
2024-04-12,195.51964700266024,195.92468054548598,192.65681160253146,192.85012817382812,1582600
2024-04-15,194.2677223613886,195.24349132584092,189.7019231121271,189.83999633789062,1977400
2024-04-16,190.8710115723121,192.1597419477703,189.7663694835107,190.0701446533203,1151700
2024-04-17,191.52458246309922,192.50955174315385,189.8216182784677,191.85597229003906,1853400
2024-04-18,193.4484830954383,193.64179968557568,191.25764133516202,192.98822021484375,1256400
2024-04-19,194.48865980651172,197.45275354755756,193.55893394897018,196.10877990722656,2563900
2024-04-22,196.34811927142832,199.48711503413062,195.9615001931818,198.3548583984375,1743300
2024-04-23,197.92220905439902,200.16829382087204,197.12135625750813,199.54234313964844,2048700
2024-04-24,198.49295547383898,199.41348114734956,192.45430930298676,195.69454956054688,2636900
2024-04-25,195.473595230375,199.31218487369466,194.40578228102012,195.6484832763672,2048100
2024-04-26,195.0778009331282,195.51964932778026,192.97900350089688,194.17568969726562,1353100
2024-04-29,193.0250300869154,196.20084084079383,192.57396745178963,192.96058654785156,1316700
2024-04-30,192.4911111970179,193.4392514532454,191.1839665141228,192.97898864746094,1394400
2024-05-01,192.4358941829568,193.77985379575753,191.05510567752458,191.53378295898438,1869400
2024-05-02,192.73046996916716,193.07107404481573,190.41075521419344,190.9906768798828,1922600
2024-05-03,189.4994058136896,191.39568635470667,186.6641852018201,191.1471405029297,2065400
2024-05-06,191.9848219361604,192.35304061350493,189.61907838593692,191.46932983398438,1722600
2024-05-07,191.62583043409415,192.29781025219208,187.78724000770484,191.78231811523438,2144300
2024-05-08,191.56137845857518,195.0317497754959,190.30946311026972,195.00413513183594,1708200
2024-05-09,195.00414955970265,196.73474226966565,194.2309113878026,196.63348388671875,1983500
2024-05-10,196.55981843817224,196.72552034019463,191.33124008635164,191.89276123046875,1838700
2024-05-13,192.01245449117576,194.70038787902962,191.96642539645106,193.23675537109375,1555600
2024-05-14,192.50952264420735,194.221700816906,190.548798627346,194.0467987060547,1702000
2024-05-15,193.3195838037966,194.60832812215406,191.4048887949477,191.7086639404297,1770700
2024-05-16,191.7087042282803,196.37577692678633,191.5061874220665,195.82345581054688,1246100
