Date,Open,High,Low,Close,Volume
2024-03-12,182.01548831324635,183.98386168742658,179.76169239001163,183.88543701171875,635100
2024-03-13,184.08229022061238,186.85770417118363,183.88545586651125,185.27316284179688,791200
2024-03-14,185.755394311262,187.9206019445695,184.5005473180692,186.7986297607422,820000
2024-03-15,185.45025896698507,188.73745336083485,183.04885647013808,186.70018005371094,1680200
2024-03-18,188.5012650981142,190.08580618198755,186.20810843527292,188.5800018310547,756300
2024-03-19,188.42253178010847,188.42253178010847,184.74168330778215,186.5821075439453,691800
2024-03-20,187.39899882799264,189.5248457685893,186.60180997964332,188.3142852783203,493300
2024-03-21,189.73149504615083,191.7244669409124,188.94710119484205,190.46963500976562,565700
2024-03-22,190.23344743287933,190.6074431978424,186.99547968187642,189.42642211914062,459000
2024-03-25,188.70795507606795,189.67737953420354,186.35574956583244,188.23553466796875,397300
2024-03-26,189.22957319535809,189.30830993020453,186.72186150261183,187.5859832763672,1098600
2024-03-27,189.94804893767974,194.38672591847322,189.94804893767974,194.101318359375,766400
2024-03-28,195.23308202121513,198.60884971243166,194.6622520174746,195.8629608154297,750700
2024-04-01,195.17404038753057,195.81377068194558,192.06400715690108,195.14451599121094,785100
2024-04-02,188.96383766537977,195.05102972070728,186.69529463513905,194.54417419433594,1156100
2024-04-03,194.08159665118447,196.56175111536223,193.37101379802886,195.6661376953125,980800
2024-04-04,198.76634193963093,201.39411848639378,194.61307308572202,194.62290954589844,749700
2024-04-05,193.9930400770946,195.69567885476434,190.63695984251376,195.1543731689453,622300
2024-04-08,196.699549622073,199.61274879008016,195.43880072368012,198.6679229736328,707100
2024-04-09,199.98672362732322,204.70098607531827,199.53891690092726,204.53367614746094,647800
2024-04-10,200.3213294110902,200.56246533451602,196.4239589733176,200.094970703125,1152700
2024-04-11,202.09288339936703,202.09288339936703,196.57159568417407,201.28585815429688,521900
2024-04-12,199.80956308255466,199.80956308255466,194.62289561647356,194.8689422607422,758300
2024-04-15,194.62291814668532,195.03430746268648,188.76208459963743,189.6822967529297,601000
2024-04-16,188.53078841737158,189.12130640229918,186.61162749260117,187.14308166503906,795500
2024-04-17,187.4580508650589,188.21095312566365,183.7378261635416,183.90513610839844,821800
2024-04-18,184.7416649517886,185.59790244952703,181.51844497183393,181.94656372070312,614000
2024-04-19,181.7300586702828,184.22497542886543,180.34236690895264,180.35220336914062,572600
2024-04-22,181.54310230051388,185.42078564715993,179.50582843222008,183.7575225830078,522100
2024-04-23,183.85590392256057,188.49142960735574,183.85590392256057,185.11566162109375,607200
2024-04-24,184.9778831983038,185.58808915079825,181.28718315437317,184.9385223388672,549100
2024-04-25,182.55678727390483,183.9346425781071,180.77539682115523,183.62954711914062,843500
2024-04-26,184.84992806125487,188.71777405779665,184.84992806125487,185.9029998779297,675000
2024-04-29,186.0407899461491,191.59160171423824,186.0407899461491,190.135009765625,757800
2024-04-30,188.36346502607256,190.48931159883728,185.00738525390625,185.00738525390625,883600
2024-05-01,184.64326811248256,187.94029957742333,182.94062931969842,183.29493713378906,1363200
2024-05-02,177.15361716218376,177.7441352263903,156.48569515992898,164.0836181640625,2756600
2024-05-03,170.0674454463094,173.2463639213312,164.86108998487722,168.58131408691406,1207000
2024-05-06,169.75250614752974,172.5279196592318,167.0440256164873,171.6815185546875,748400
2024-05-07,171.70121824045233,175.2344448882396,171.1894369516999,173.67942810058594,502200
2024-05-08,171.5929529487842,173.2168549570074,169.01437364604905,169.55567932128906,501900
2024-05-09,169.20137526184317,171.86852782023578,168.46323523858842,170.8351287841797,521600
2024-05-10,171.13040451828834,172.23268892178822,169.10298212578024,170.6481475830078,474200
2024-05-13,171.45515853949794,173.8664127671158,171.0516384190711,171.32720947265625,468500
2024-05-14,172.2326841680637,174.20105770141302,171.62249317832487,171.75042724609375,494400
2024-05-15,173.66957053652195,175.03758928219563,169.89028265554617,174.64390563964844,673300
2024-05-16,175.00807375043496,178.57082454534327,174.958861415437,178.20668029785156,615300
2024-05-17,178.25589230120784,179.43692836847526,176.83866103448486,179.39755249023438,493200
2024-05-20,179.41725089472038,179.6042487835285,175.57891348720682,177.43902587890625,484800
2024-05-21,176.72056576395372,177.81301362832647,175.42734897389812,176.82882690429688,379300
2024-05-22,176.76978324382085,178.26575131274538,175.42145219829237,177.81301879882812,646700
2024-05-23,178.08856812516478,178.85623249701936,171.64214267959454,171.6815185546875,629400
2024-05-24,171.49905930738942,171.94783078092146,165.91655829249504,168.34286499023438,759200
2024-05-28,168.6584930273305,169.01059932048946,163.95380453418906,164.50613403320312,824900
2024-05-29,161.91216254738026,164.35819972084798,161.23160830177358,161.34996032714844,876800
2024-05-30,160.04804508044245,160.63982026523516,155.9943226077314,156.77349853515625,959600
2024-05-31,154.82060958569545,154.82060958569545,141.90985468509948,143.33013916015625,2551900
2024-06-03,145.38165115925972,146.91043007579546,142.41287239735945,143.16246032714844,1758500
2024-06-04,142.50163845295697,147.2753760156215,141.90986325252337,144.62220764160156,946200
2024-06-05,144.86876967878564,145.97342864719084,141.90984882782905,142.3438262939453,804500
2024-06-06,143.68518262587347,144.9969726148608,141.4364040875663,143.26107788085938,1076300
2024-06-07,141.83094785059797,145.58877506600714,140.77559214976114,143.33999633789062,792400
2024-06-10,141.79149411213928,144.59261753295206,140.45998864312378,144.29672241210938,878100
2024-06-11,142.05779532321415,143.16245434195247,140.3514884353736,141.4265594482422,883500
2024-06-12,144.24738242339114,145.77616111032677,141.62380248837638,142.18600463867188,694500
2024-06-13,141.74218929752217,142.47401839516098,138.74380751121876,139.05943298339844,725400
2024-06-14,139.04954987202694,142.02820108087545,138.2013252913555,140.8249053955078,795600
2024-06-17,141.15039939470336,143.4287662216595,139.28627971357096,140.93341064453125,1009700
2024-06-18,140.52903266914103,142.29453082207752,139.49340719477382,139.52301025390625,1085400
2024-06-20,139.30600550341546,143.9613757275353,138.97064968696034,143.68519592285156,802800
2024-06-21,143.7838251393911,145.45956569454503,142.01340598031362,145.3816375732422,2647600
2024-06-24,142.89617433373272,144.69124539048764,142.0331556401376,143.0145263671875,657700
2024-06-25,142.69888624106454,142.69888624106454,139.22709651712267,139.6018829345703,720800
2024-06-26,139.10873582009523,140.67697542362865,137.77723036973956,139.0692901611328,1023700
2024-06-27,139.06928951814385,141.288480308327,138.08298250028466,139.83860778808594,584700
2024-06-28,140.20351682541522,141.09120204639592,138.62543484897498,141.08132934570312,995200
2024-07-01,141.00243709498903,141.39695382399495,138.90653499121706,140.35147094726562,699900
2024-07-02,140.83475680994917,142.0873707974099,138.42818059564343,140.22325134277344,712900
2024-07-03,140.54875796698894,142.4720537502511,140.1640988103365,141.15040588378906,458000
2024-07-05,140.90381405008569,141.02216607029337,138.73394173046168,140.01614379882812,427700
2024-07-08,140.69668617697533,140.80814536843883,137.85613227819132,138.42819213867188,666200
2024-07-09,137.98431902579043,138.9706258524218,137.589802315077,138.2407684326172,741700
2024-07-10,138.52680122655232,138.71420194570607,137.61940068367267,138.359130859375,581700
2024-07-11,140.05561051475075,142.85671911308123,138.76355060037272,142.50164794921875,764000
2024-07-12,144.00081850356742,148.37015118354898,142.61999475703487,146.3975372314453,908200
2024-07-15,147.36412790692555,154.70225416708357,146.1904202053882,153.97238159179688,1090900
2024-07-16,154.24854840967652,160.27488467546812,154.17457839595016,158.82501220703125,987100
2024-07-17,157.8091158448686,159.5450107012161,154.4458054514608,158.47979736328125,752900
2024-07-18,158.4798036376605,160.0283128721234,151.70387927375762,152.6704559326172,735500
2024-07-19,152.83814662098095,156.28034858301447,150.36250630117217,155.93515014648438,747800
2024-07-22,157.24691083364044,158.37131521178307,152.79373552752477,157.79925537109375,610600
2024-07-23,158.1740537111253,165.67985081739732,157.23706504184923,163.1549072265625,997100
2024-07-24,162.8984554539733,165.17682204427206,156.03375262944584,156.40855407714844,700100
2024-07-25,157.06937411892412,165.06338734442562,156.30202746968698,160.65953063964844,651800
2024-07-26,161.79379319890086,162.7702425440759,159.3822804166669,161.783935546875,585900
2024-07-29,162.53353070700342,165.57135820006079,161.04421249264993,161.981201171875,560800
2024-07-30,161.99107021343866,164.92040326376508,159.88037379483873,163.2042236328125,644100
2024-07-31,165.33464333157434,168.19492754426153,163.81572215943552,164.50613403320312,1338900
2024-08-01,171.6371358734737,176.45030344958897,163.1647479216516,165.0880584716797,1693200
2024-08-02,162.67160990777955,164.55545993168556,156.4874757159888,162.0601043701172,845600
2024-08-05,155.0671811613518,161.16255093867377,154.15978056585323,155.90554809570312,3179700
2024-08-06,156.5368011577081,159.95927283285246,155.83651651850676,156.2310333251953,668200
2024-08-07,157.76968242013132,160.35380207649249,150.4463495601885,150.64854431152344,774900
2024-08-08,151.8025193293606,158.4995374733356,150.75209992938244,157.1088409423828,710300
2024-08-09,156.38884518940645,157.25680021906788,154.9291149530361,155.87596130371094,470400
2024-08-12,156.24091072812294,156.5959818847652,151.3290905529298,151.6052703857422,514300
2024-08-13,151.87155167022652,155.23289071084625,150.3674394753118,154.50498962402344,707000
2024-08-14,154.10061329735018,154.48033607982362,151.2896322872902,153.04525756835938,575600
2024-08-15,155.36307268960016,158.79541661108692,155.36307268960016,157.50335693359375,742900
2024-08-16,156.52691049939895,158.63760677774553,154.9685437069973,157.80911254882812,1418900
2024-08-19,157.80914125375588,158.7855907332104,156.10283412790835,156.7241973876953,482700
2024-08-20,156.22113932047353,156.6945623883065,155.12633812933927,156.3789520263672,467100
2024-08-21,157.1680328507365,159.22941095246136,155.14610040867885,158.59817504882812,437900
2024-08-22,158.59817083092375,159.08145163578718,156.7636391832396,157.94720458984375,440700
2024-08-23,158.7954429475236,161.4091507400731,157.62173509167428,160.99490356445312,582700
2024-08-26,162.07737796737203,163.85682158062366,161.25685632669197,162.72984313964844,447400
2024-08-27,162.20590871076175,162.60133394682927,159.7443436253997,161.2371063232422,494100
2024-08-28,161.3853729283203,163.2241287760905,160.02113033931204,161.17776489257812,528700
2024-08-29,162.50246740615637,163.2636616565551,160.85154384516218,161.68194580078125,349800
2024-08-30,162.12681236788697,162.59144529301878,159.6553670574009,160.92074584960938,648500
2024-09-03,159.86300057652332,161.6918613470283,158.63221035829838,159.44778442382812,651000
2024-09-04,158.93370999320032,160.46600910976414,156.91700216309547,158.17250061035156,555800
2024-09-05,157.5892510060588,159.2006231790497,153.99575967424275,154.43568420410156,3017800
2024-09-06,154.44557092264662,156.26456630973664,151.33155556676178,153.14065551757812,982100
2024-09-09,153.91172320563643,162.6408694347787,153.85734356746482,161.94886779785156,1025300
2024-09-10,162.76939636092254,165.76478713263768,159.8926452319579,165.70547485351562,744500
2024-09-11,165.19142076895693,166.62485612049363,159.13143166707061,166.57542419433594,820500
2024-09-12,167.87045749028906,168.3153146521566,163.65911989503402,165.6362762451172,1037600
2024-09-13,166.21951603949177,169.10616219293627,165.57694632797487,167.4453582763672,826100
2024-09-16,168.16703008644032,170.3122428667308,167.09936387184547,167.15867614746094,602100
2024-09-17,167.5738705910095,170.41110003425248,166.44689214498595,167.10923767089844,484000
