Date,Open,High,Low,Close,Volume
2024-03-12,136.0736257841842,136.41681330309882,134.41488368507052,134.7104034423828,1422500
2024-03-13,135.16799164297706,136.33101528789425,134.97733512905745,135.25379943847656,1893400
2024-03-14,134.3767941903819,135.01550163765845,132.01260640642292,132.47019958496094,2201400
2024-03-15,131.07836698638255,133.44254000528454,131.07836698638255,131.4215545654297,4394300
2024-03-18,131.4692145304228,133.46160209925463,130.8781604011657,132.57504272460938,2002000
2024-03-19,132.98496271187463,135.08221369487265,132.85150168239733,134.9868927001953,2608900
2024-03-20,135.4253713386639,135.77808657870142,134.42440656578768,135.61602783203125,2190000
2024-03-21,135.8734372435961,137.208047392088,135.65418297909235,136.9029998779297,1515900
2024-03-22,137.1604131870209,137.2462064485686,135.56840852271282,135.9020538330078,1289300
2024-03-25,135.52071594413155,136.12128321119465,134.1479658260005,134.55787658691406,1005700
2024-03-26,134.63415312056844,135.80671909439147,134.52928985167762,135.1966094970703,1059300
2024-03-27,136.3214797077837,137.846760823677,135.56838142998765,137.78955078125,1169500
2024-03-28,138.22810226779944,138.5998876161905,137.6656603772369,138.1327667236328,1533000
2024-04-01,138.34248946860467,138.80008261259073,136.10224970408862,136.6837615966797,1093600
2024-04-02,136.40729063322144,136.71235271440557,133.93825441655008,135.04408264160156,1051200
2024-04-03,135.08219631804226,136.26428996003594,134.51022678507195,135.1107940673828,1180100
2024-04-04,135.95921253236568,137.25569702512564,132.91819279629328,133.24232482910156,1236500
2024-04-05,132.98494028560845,133.14699904077588,131.77424894270032,132.54641723632812,1061900
2024-04-08,133.2423629392184,133.92873813441832,132.489249953242,133.37582397460938,1347400
2024-04-09,134.1670474426223,135.65418868381252,132.8991604751562,135.55885314941406,1223000
2024-04-10,133.204217130001,133.204217130001,131.2118294215226,131.29762268066406,1561500
2024-04-11,132.05073777002985,132.51784410813002,130.6017218921696,131.1737060546875,2091000
2024-04-12,130.12505005673097,130.27758107901113,127.35095209191593,128.15171813964844,2097400
2024-04-15,129.5530638797997,130.44916543835777,127.94200407657104,128.71417236328125,1292600
2024-04-16,127.94200831785906,128.71417663016672,127.24609097181462,127.27468872070312,1822100
2024-04-17,128.59977237736547,129.16222871884784,127.90386957050536,128.656982421875,1735400
2024-04-18,129.67700412589278,130.02019166579436,127.89434319298809,128.7999725341797,2318900
2024-04-19,126.79804038343393,128.36144702523154,123.49964060622933,124.78658294677734,4643200
2024-04-22,124.26229358448965,125.12025523046286,123.19459084846714,125.03446197509766,2460700
2024-04-23,124.32900375993245,125.5015550985378,123.38523441159599,124.33853149414062,2730600
2024-04-24,123.87144043196643,124.82473763147837,123.84284267967395,124.42435455322266,1896300
2024-04-25,123.81423958817776,123.85236507420336,122.26988830017561,123.19458770751953,1764100
2024-04-26,123.63311827319505,124.84380981046728,122.97534086675454,124.08116912841797,1370800
2024-04-29,124.59594657337058,125.32998952236011,124.24323124873474,124.63408660888672,848600
2024-04-30,123.71889711625138,124.7675297501562,122.76560001130497,122.97532653808594,2208200
2024-05-01,123.48057882411646,126.64553234807467,123.2899223031195,124.83425903320312,2084900
2024-05-02,125.62549654166223,126.80759023748945,124.51014062810852,126.07354736328125,2816300
2024-05-03,127.58927366682894,128.17078544911107,126.07353484857443,126.71224212646484,1303700
2024-05-06,127.49397987037113,127.90389070705989,126.19749502426637,126.82666015625,1159500
