Date,Open,High,Low,Close,Volume
2024-03-12,153.57931829461725,155.29074169173896,152.0208607766593,154.14341735839844,3110600
2024-03-13,148.17728433069522,151.78180756213516,148.0051922760305,151.22726440429688,5625000
2024-03-14,158.82831001114866,160.69272821755058,141.35069504328507,143.47325134277344,9422300
2024-03-15,143.2342376962041,146.63797272601136,143.2342376962041,145.28030395507812,4160300
2024-03-18,144.46765561568674,150.2425307628413,143.50197899692586,148.91354370117188,2744400
2024-03-19,149.63058390476186,149.63058390476186,146.42762307822156,147.2594451904297,1465800
2024-03-20,147.92872136476817,150.29986015788143,147.46979457007328,149.20989990234375,1958400
2024-03-21,148.9709049079245,151.37074081044588,147.24991082757643,147.4889373779297,1806400
2024-03-22,147.24989875224531,147.63234995486107,144.05650780276747,144.08518981933594,1585800
2024-03-25,144.86919058845683,145.77748840440643,143.60712361882727,144.1616668701172,2035900
2024-03-26,145.01259786036331,145.7870413999577,143.56888302661451,144.04693603515625,1599300
2024-03-27,144.62059189189463,147.57497059276415,144.62059189189463,147.4411163330078,1829500
2024-03-28,148.04344941618695,149.6975232989131,146.89612513493987,149.20989990234375,1807400
2024-04-01,149.3724647540772,152.91005471026818,149.3724647540772,150.4433135986328,1343900
2024-04-02,149.70708434684585,150.07996511602806,146.28422299918893,148.0912628173828,1736500
2024-04-03,147.84267672145404,152.48935250502404,146.9152527263471,152.1929473876953,2536000
2024-04-04,153.93308698344836,156.91613344159717,151.02653076640874,152.05911254882812,3276500
2024-04-05,152.25988768077792,154.87962349637525,151.49499992690085,152.54672241210938,2614600
2024-04-08,151.4719170846433,153.08414483724678,149.67736721191682,150.4163055419922,2637700
2024-04-09,150.02281838600746,150.2819292505658,145.37809323355071,147.20143127441406,2645800
2024-04-10,145.41648287919975,148.6505146960629,144.437630935572,148.39141845703125,1884700
2024-04-11,149.01518077159724,149.94604700284438,146.46249575306032,148.1418914794922,1791900
2024-04-12,147.42212811252975,147.61407073814001,141.51066718016065,141.8177490234375,2479200
2024-04-15,143.36280613185252,144.3320520470365,138.6605042515459,138.85243225097656,2066200
2024-04-16,138.9868020642715,139.71613441776245,137.24982927387867,139.14035034179688,2140600
2024-04-17,140.33029694021192,140.53183086196168,137.86399207655242,138.66050720214844,1864600
2024-04-18,138.91003354985565,140.33031856654713,137.53773420222993,139.80250549316406,1463900
2024-04-19,139.87926650431578,140.83892122286585,138.63172708473584,138.97720336914062,1518400
2024-04-22,138.80444526870028,138.94838760611083,136.78916468594724,137.086669921875,2174600
2024-04-23,137.4129594477802,138.52616241909755,136.47250193767974,136.9715118408203,1431000
2024-04-24,135.58960628370528,137.70085834078913,134.95624530974877,137.38417053222656,1322900
2024-04-25,136.51088882851218,137.66247160528576,135.68558515391004,136.89474487304688,1387900
2024-04-26,136.60688274622447,138.62214927796663,135.9063241165307,136.3381805419922,1378600
2024-04-29,135.5128528153591,135.7815549721703,133.35362964180328,135.45526123046875,2381700
2024-04-30,134.77392459817796,135.46487723661957,133.45920218708474,133.57435607910156,1753200
2024-05-01,133.19045548195845,134.3516439908731,129.95642416599165,132.02928161621094,2612500
2024-05-02,132.57630826775394,132.9793761803999,130.63781606358705,131.6166534423828,1638900
2024-05-03,131.2327823677702,133.0849089402908,130.4842528610017,131.94293212890625,2268800
2024-05-06,132.5187082992982,133.1137041450185,129.24628239892456,130.6473846435547,2481300
2024-05-07,132.21163690074823,135.39768300552936,131.76059800398215,134.2556915283203,2594400
2024-05-08,132.88339454872653,134.32287667529482,131.5302778353917,131.9717254638672,1700400
2024-05-09,131.70301098865752,135.20574464514343,130.9928612677534,135.1769561767578,1920700
