Date,Close,High,Low,Open,Volume
2024-03-12,74.186767578125,74.50281564313222,73.63834103345681,74.35408547328298,1217100
2024-03-13,75.190673828125,75.28362663697261,73.81495523675301,74.08451625485766,1248400
2024-03-14,74.83744812011719,75.66474015070301,73.94508841606432,75.05123886500412,1906500
2024-03-15,76.73371887207031,76.90103676793503,74.56788363444518,74.56788363444518,6705700
2024-03-18,76.4548568725586,77.27285157235575,76.32472151331463,76.78019527066853,1853600
2024-03-19,77.1334228515625,77.3193284740464,76.70582715452869,76.70582715452869,1211700
2024-03-20,78.09085845947266,78.09085845947266,76.76161255316497,76.95681560476804,1559800
2024-03-21,78.53703308105469,78.90885144849123,78.11874185009201,78.27676235140275,1045500
2024-03-22,77.64466857910156,79.09475232376026,77.63537117021797,78.8437790186636,867800
2024-03-25,78.52774047851562,78.7880112005944,77.55171817887494,77.55171817887494,845000
2024-03-26,78.53703308105469,78.98321654034764,78.46267508104377,78.54633049049811,832300
2024-03-27,80.00569915771484,80.01499656569703,78.5835006857488,78.89025132256151,834400
2024-03-28,80.22879791259766,80.65638654232832,79.80120928286698,80.25668304838624,978200
2024-04-01,79.94993591308594,80.26597689378472,79.12264382614498,79.95922623003943,960700
2024-04-02,79.32714080810547,80.48906874653105,79.08546490304158,79.87557448280191,1312500
2024-04-03,79.72683715820312,80.11725030033129,79.22489057460704,79.22489057460704,981800
2024-04-04,78.6392822265625,80.6749822640665,78.60209968114629,80.1544408119303,877600
2024-04-05,78.55563354492188,78.89026939047703,78.11874746367786,78.34183566343263,882400
2024-04-08,78.65787506103516,79.2434841799163,78.36042179705414,78.54632742760032,992100
2024-04-09,76.97541046142578,79.15984096182493,76.69655197267117,78.81590769132997,870700
2024-04-10,75.54389953613281,76.42696897548633,75.23715596719668,76.42696897548633,840700
2024-04-11,74.59577941894531,75.39518646978573,74.30762353730954,75.37659164989871,1021200
2024-04-12,74.1960678100586,75.15349526640001,73.94509450369385,74.27043289781301,1166200
2024-04-15,73.36878204345703,75.29293453113442,73.04344362125954,74.77239305561844,855700
2024-04-16,72.73668670654297,73.27582295542024,72.34628063329188,73.20145786760715,830600
2024-04-17,72.95048522949219,73.67552711270066,72.75527509923282,73.19216112933157,935400
2024-04-18,73.39665985107422,74.17747907821762,73.21075422605414,73.46172752901575,875800
2024-04-19,74.77239227294922,74.81886513743629,73.78707251509175,73.78707251509175,978700
2024-04-22,75.61827087402344,75.98079183333877,74.59577567872775,74.9954791841069,674400
